Wind1VelX_Mean,PtfmSurge_Mean,PtfmHeave_Mean,PtfmPitch_Mean,TwrBsMxt_Mean,TwrBsMyt_Mean,FAIRTEN1_Mean,FAIRTEN2_Mean,FAIRTEN3_Mean,ANCHTEN1_Mean,ANCHTEN2_Mean,ANCHTEN3_Mean,GenPwr_Mean,RotSpeed_Mean,Wind1VelX_Std,PtfmSurge_Std,PtfmHeave_Std,PtfmPitch_Std,TwrBsMxt_Std,TwrBsMyt_Std,FAIRTEN1_Std,FAIRTEN2_Std,FAIRTEN3_Std,ANCHTEN1_Std,ANCHTEN2_Std,ANCHTEN3_Std,GenPwr_Std,RotSpeed_Std,Target
11.52602231,9.231302483,-0.03058882732,2.83913912,5960.680701,64874.31463,929621.6344,1537307.29,914288.8337,732991.1727,1337509.324,717925.927,4165.311624,11.83133663,2.27258092,1.084217382,0.06026072443,0.8095405098,2773.944747,15821.33019,13624.9334,89710.88132,30026.50415,13367.45667,89235.00063,29937.40173,1063.466411,1.072854775,1
9.974421884,7.982301722,-0.02548381914,2.431887753,4671.335119,55286.95785,947688.7182,1459733.68,941938.1072,750881.9431,1260260.608,745382.2514,3048.998869,10.48364782,2.125750973,2.322202851,0.07279229775,0.8301013653,3869.810639,17083.34478,38363.50906,175679.4543,44533.46787,38183.61912,175478.8036,44487.27766,1244.514284,1.170268739,1
11.53361873,9.736394778,-0.03546655423,3.123588695,6017.283855,71357.72252,912944.2799,1576098.793,915410.1517,716361.5864,1376117.593,719134.3579,4637.721407,12.0375581,1.829538101,1.338611998,0.05754259091,1.045181231,2337.725975,15684.85567,29375.47868,111524.4572,28307.42408,29287.66328,111296.411,28335.2197,657.7756706,0.6012154287,1
11.22284317,9.242389084,-0.02924744403,2.914590389,5608.537912,66600.82412,926360.8707,1537753.028,916812.0011,729730.8625,1337951.14,720483.0763,4158.238713,11.67551096,1.884551908,1.02010175,0.05592789378,0.5899273477,2516.149657,12394.24025,20294.55842,84744.83127,22812.89762,20155.11991,84288.39852,22705.66793,991.7360265,0.7883750956,1
10.62425668,8.231403951,-0.02219667438,2.400049734,4968.013816,54579.80289,943242.6902,1464872.798,937360.8268,746455.2372,1265487.315,740800.0789,3438.528523,10.95775075,2.515253328,1.747771345,0.06895108894,0.9529485543,3804.492287,18350.01631,29193.79938,125460.3578,39083.68836,28929.97048,124942.0599,39006.05252,1414.987314,1.568168615,1
11.75413349,9.501524442,-0.0383794978,3.049001096,5869.265031,69692.81553,921275.5108,1568737.99,916850.5281,724638.1215,1368783.296,720506.4115,4378.240369,11.78885214,1.895026178,2.183776803,0.07119827303,1.065137865,2862.104222,17332.99101,36141.41654,168428.1275,44472.52062,36014.58714,168401.5523,44495.51788,1053.060128,0.9674241585,1
11.04920769,9.480014065,-0.03364496268,2.942855823,5321.144233,67506.82565,916004.0148,1554127.99,919071.5513,719374.5372,1354301.171,722750.4444,4277.515953,11.76368636,2.047786399,0.9029696872,0.04932076777,0.5227861069,2256.175999,10601.55223,26582.1265,76549.38158,9145.355027,26519.20955,75947.04864,8611.319918,870.1476871,0.6764005521,1
11.54109499,8.770228546,-0.02617944394,2.807908979,5916.162332,63558.57229,936125.695,1506592.08,923755.3316,739488.4195,1306795.69,727402.1108,4197.120853,11.75273366,2.070952722,1.432098782,0.0668349791,0.9293921813,2740.431128,16750.34138,18816.69081,111663.9446,36965.58197,18588.88456,111180.8904,36861.65723,1045.425878,1.102803388,1
10.67558054,8.720858369,-0.03133380668,2.687839363,4873.004351,61233.65709,930998.1189,1512403.245,935082.096,734235.728,1312766.575,738612.7623,3515.822314,10.92048974,2.350086198,2.582780395,0.07423006214,0.8202685049,3561.503992,19070.25302,44199.61244,195557.0341,48964.04554,43979.22418,195346.0175,48927.7526,1483.77388,1.421720801,1
11.55030644,9.734828713,-0.03296133857,3.009628053,5774.876111,69433.49805,917004.9704,1574157.134,910600.8722,720384.6278,1374300.186,714253.8177,4648.292057,12.05222222,1.762436815,0.9047872735,0.05489962773,1.048147697,2471.96953,15550.18987,27217.58933,78004.13125,15900.29552,27135.96627,77381.53946,15760.10364,670.5443876,0.6263655589,1
